closeout_component,canonical_object_name,family,b_side_role,current_b_carrier_or_precursor,required_for_approved,required_for_shadow,minimum_payload_or_ref,boundary_note
input_summary,SkillObservation,governance,closeout_anchor,"inputs/selection_run_current/**; outputs/selection_runs/<batch_id>/01_consumed_inputs/**; route decision logs",YES,YES,"run_name; direction_id; site; batch_id; entrypoint_ref; input_refs","Execution context only, not publish truth"
output_summary,SkillObservation,governance,closeout_anchor,"00_run_summary.md; latest_run.json; latest_*_run.json; batch_run_summary.json",YES,YES,"status; reason_code; primary_output_refs; row_counts when available","Output summary is not final business verdict"
kpi_delta,SkillObservation,governance,closeout_anchor,"row counts; artifact counts; retry counts; latency facts from current summaries",YES,YES,"metric; before; after; unit optional","KPI delta is local runtime movement only"
artifact_return_envelope,ArtifactReturnEnvelope,shared runtime,envelope,"outputs/selection_runs/<batch_id>/00_run_manifest.json",YES,YES,"batch_id; dispatch_mode; execution_class; status; reason_code; object_refs","Only a full run root may claim this object"
evidence_pack,EvidencePack,shared runtime,evidence,"outputs/selection_runs/<batch_id>/03_logs/evidence_pack.json or equivalent evidence refs",YES,YES,"typed evidence refs for workbook screenshot trace auth incident and step receipts","Raw auth content stays out of payload"
execution_receipt,ExecutionReceipt,shared runtime,runtime_receipt,"logs/**/latest_run.json; logs/**/latest_*_run.json; skill-local manifest/run log",YES,YES,"entrypoint; started_at/finished_at when available; status; reason_code; error_type","Current B often has precursors rather than one first-class shared file"
verification_result,VerificationResult,shared runtime,verify_slot,"verify linkage placeholder; deterministic-check precursor; review packet note",YES,YES,"schema_pass; deterministic_check_pass; verify_pass; unauthorized_attempt=false","Missing hard-gate proof must keep verify at HOLD or NOT_RUN"
rollback_trace,RollbackTrace,shared runtime,rollback_slot,"rollback note; replay/profile recovery evidence; git checkpoint ref",YES,YES,"rollback_triggered; rollback_reason; recovery_action; rollback_evidence_ref","Local execution rollback only, not publish rollback"
skill_observation,SkillObservation,governance,primary_observation,"B8 runtime observation schema anchor",YES,YES,"input_summary; output_summary; kpi_delta; verify_status; rollback_triggered; error_type; operator_score_placeholder","Primary B-side business closeout view"
human_review_entry,HumanReviewEntry,governance,score_placeholder,"operator note placeholder only",YES,YES,"operator_score_placeholder; review_note_ref optional","Placeholder only, not scorebook truth"
model_inference_receipt,ModelInferenceReceipt,v3 intake target (fallback host unresolved),model_receipt,"outputs/selection_runs/<batch_id>/03_logs/model_inference_receipts/*.json; SK-04 semantic manifest precursor",CONDITIONAL,CONDITIONAL,"provider; model; invocation_ref; output_ref; latency_or_usage; verify_linkage","Emit only when a real model call happened"
shadow_run_receipt,ShadowRunReceipt,v3 intake target,shadow_receipt,"outputs/selection_runs/<batch_id>/03_logs/shadow_run_receipt.json",NO,YES,"dispatch_mode=shadow; execution_class; status; reason_code; comparison_anchor_ref optional","Shadow result only, never final business closure"
workbook_evidence,EvidencePack,shared runtime,evidence_item,"runs/manual/**/*.xlsx",CONDITIONAL,CONDITIONAL,"workbook_ref; size_bytes; sheet_names; source_task_name","Workbook success does not equal final verdict"
screenshot_evidence,EvidencePack,shared runtime,evidence_item,"playwright/screenshots/**/*.png",CONDITIONAL,CONDITIONAL,"screenshot_ref; surface_family; captured_at","Reviewable evidence only"
trace_evidence,EvidencePack,shared runtime,evidence_item,"playwright/traces/**/*.zip",CONDITIONAL,CONDITIONAL,"trace_ref; captured_at; source_surface optional","Optional raw evidence"
auth_incident_observation,SkillObservation,governance,auth_observation,"logs/sellersprite_auth_incidents/latest_auth_incident.json",CONDITIONAL,CONDITIONAL,"surface_family; reason_code; replay_available; incident_refs","Auth incident is observation/evidence, not business closure"
nightly_output_bundle,ArtifactReturnEnvelope,shared runtime,shadow_carrier,"outputs/selection_runs/<batch_id>/00_run_summary.md; 00_run_manifest.json; 03_logs/nightly_acceptance_summary.json",NO,YES,"batch_id; status; reason_code; required_output_presence; shadow_receipt_ref","Nightly acceptance remains dry-run"
