record_id,surface,run_batch_id,object_name,content_role,status,reason_code,state_token,ingest_ready,review_ready,repo_owner,repo_root,relative_path,absolute_path,notes
IDX-01,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,ArtifactReturnEnvelope,ingest_ready,HOLD,"BATCH_QUEUE_HAS_FAIL_ROWS; NO_REAL_CANDIDATE_ROWS; BLOCKED_BY_SIF_OR_POOL_ALIGNMENT__NO_REAL_CANDIDATE_ROWS__SIF_DETAIL_SURFACE_NOT_COLLECTED__SIF_SEARCH_SURFACE_NOT_COLLECTED",INGEST_READY,TRUE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/00_run_manifest.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\00_run_manifest.json,Primary A-ingest envelope for the current B9 batch
IDX-02,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,ArtifactIndex,ingest_ready,HOLD,"BATCH_QUEUE_HAS_FAIL_ROWS; NO_REAL_CANDIDATE_ROWS; BLOCKED_BY_SIF_OR_POOL_ALIGNMENT__NO_REAL_CANDIDATE_ROWS__SIF_DETAIL_SURFACE_NOT_COLLECTED__SIF_SEARCH_SURFACE_NOT_COLLECTED",INGEST_READY,TRUE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/02_generated_outputs/artifact_index.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\02_generated_outputs\artifact_index.json,Generated output index for the same bundle
IDX-03,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,EvidencePack,ingest_ready,HOLD,"BATCH_QUEUE_HAS_FAIL_ROWS; NO_REAL_CANDIDATE_ROWS; BLOCKED_BY_SIF_OR_POOL_ALIGNMENT__NO_REAL_CANDIDATE_ROWS__SIF_DETAIL_SURFACE_NOT_COLLECTED__SIF_SEARCH_SURFACE_NOT_COLLECTED",INGEST_READY,TRUE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/03_logs/evidence_pack.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\03_logs\evidence_pack.json,Current run evidence bundle with 36 indexed items
IDX-04,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,ShadowRunReceipt,ingest_ready,HOLD,"BATCH_QUEUE_HAS_FAIL_ROWS; NO_REAL_CANDIDATE_ROWS; BLOCKED_BY_SIF_OR_POOL_ALIGNMENT__NO_REAL_CANDIDATE_ROWS__SIF_DETAIL_SURFACE_NOT_COLLECTED__SIF_SEARCH_SURFACE_NOT_COLLECTED",INGEST_READY,TRUE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/03_logs/shadow_run_receipt.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\03_logs\shadow_run_receipt.json,Shadow receipt for the current batch
IDX-05,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,RunSummary,reviewable,HOLD,"BATCH_QUEUE_HAS_FAIL_ROWS; NO_REAL_CANDIDATE_ROWS; BLOCKED_BY_SIF_OR_POOL_ALIGNMENT__NO_REAL_CANDIDATE_ROWS__SIF_DETAIL_SURFACE_NOT_COLLECTED__SIF_SEARCH_SURFACE_NOT_COLLECTED",REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/00_run_summary.md,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\00_run_summary.md,Operator-readable batch summary
IDX-06,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,DirectionBatchSummary,summarized,FAIL,BATCH_QUEUE_HAS_FAIL_ROWS,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/02_generated_outputs/batch_run_summary.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\02_generated_outputs\batch_run_summary.json,Row batch telemetry for the current nightly slice
IDX-07,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,CandidatePoolSummary,summarized,HOLD,NO_REAL_CANDIDATE_ROWS,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/02_generated_outputs/candidate_pool_summary.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\02_generated_outputs\candidate_pool_summary.json,No real candidate rows were produced in this slice
IDX-08,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,MarketTriggerReceipt,summarized,DRY_RUN,PASS,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/03_logs/direction_batch/row_001_toy/step3_market/latest_run.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\03_logs\direction_batch\row_001_toy\step3_market\latest_run.json,Step3 market trigger stayed dry-run and did not require auth incident capture
IDX-09,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,BenchmarkExportReceipt,summarized,BLOCKED,SELLERSPRITE_AUTH_REQUIRED,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/03_logs/direction_batch/row_001_toy/step4_benchmark/latest_benchmark_export_run.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\03_logs\direction_batch\row_001_toy\step4_benchmark\latest_benchmark_export_run.json,Live benchmark export hit SellerSprite export-log auth
IDX-10,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,SIFDetailProbeReceipt,summarized,HOLD,NO_REAL_CANDIDATE_ROWS,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/02_generated_outputs/sif_detail_surface_probe.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\02_generated_outputs\sif_detail_surface_probe.json,Fallback summary emitted by hardened nightly orchestration
