surface_id,subject,canonical_owner_repo,mirror_repo,mirror_mode,edit_first,sync_second,in_git,local_only_exclusions,notes
SEL-01,selection business execution scripts under scripts/*.py,E:\选品文件夹\amazon-selection-automation,E:\bzclaw-side,script_mirror_reference_copy,selection repo,b-side mirror export,YES,"logs/**;outputs/**;runs/**;playwright/** auth/profile/screenshots/traces",Business execution code edits happen in selection repo first; b-side copy is reference-only when mirrored.
SEL-02,SellerSprite and market intelligence business chains (product research benchmark keyword market candidate sif),E:\选品文件夹\amazon-selection-automation,E:\bzclaw-side,script_mirror_reference_copy,selection repo,b-side mirror export,YES,"downloads;workbooks;latest runtime receipts",Do not evolve same script independently in both repos.
SEL-03,selection repo configs models templates and root manifests,E:\选品文件夹\amazon-selection-automation,E:\bzclaw-side,script_mirror_reference_copy,selection repo,b-side mirror export,YES,".env;.venv;node_modules",These stay repo-visible in b-side only as mirrored execution reference surfaces.
SEL-04,selection runbooks README and business-flow reports,E:\选品文件夹\amazon-selection-automation,,owner_only,selection repo,,YES,"runtime logs and evidence bundles",These belong to the business-flow repo and are not default governance mirrors.
SEL-05,business runtime outputs and evidence roots,E:\选品文件夹\amazon-selection-automation,,local_only,selection repo,,NO,"outputs/**;logs/**;runs/**;playwright/auth/**;playwright/profiles/**;playwright/screenshots/**;playwright/traces/**",Never mirror or commit runtime payloads.
BS-01,B-side baseline docs and path/model baseline,E:\bzclaw-side,E:\选品文件夹\amazon-selection-automation,script_mirror_report_copy,b-side repo,selection governance mirror,YES,"runtime receipts and local secrets",Canonical owner stays in b-side governance repo.
BS-02,A/B contract intake envelope mapping and return-shape docs,E:\bzclaw-side,E:\选品文件夹\amazon-selection-automation,script_mirror_report_copy,b-side repo,selection governance mirror,YES,"raw artifacts and raw secrets",These define seam semantics and therefore stay b-side-owned.
BS-03,B business track inventory and business objectization docs (B4 B5 B6),E:\bzclaw-side,E:\选品文件夹\amazon-selection-automation,script_mirror_report_copy,b-side repo,selection governance mirror,YES,"workbooks;screenshots;traces",Business object layer is b-side governance/handoff material even when sourced from selection execution truth.
BS-04,Hermes execution map and governance rules,E:\bzclaw-side,E:\选品文件夹\amazon-selection-automation,script_mirror_report_copy,b-side repo,selection governance mirror,YES,"credential payloads;storage state",Hermes placement and governance remain b-side-owned.
BS-05,repo-specific git sync scripts for bzclaw-side,E:\bzclaw-side,,owner_only,b-side repo,,YES,,These scripts belong only to the b-side repo and must not be mirrored into selection repo.
BS-06,repo-specific git sync scripts for amazon-selection-automation,E:\选品文件夹\amazon-selection-automation,,owner_only,selection repo,,YES,,These scripts belong only to the selection repo and must not be mirrored into b-side.
MIR-01,B7.6 dual-repo governance docs in reports/governance/20260412-b76-dual-repo-sync,E:\bzclaw-side,E:\选品文件夹\amazon-selection-automation,script_mirror_report_copy,b-side repo,selection governance mirror,YES,,Selection repo keeps a read-only mirrored copy for operator visibility.
MIR-02,hydrated shared root-level files already present in both repos,E:\选品文件夹\amazon-selection-automation,E:\bzclaw-side,script_mirror_reference_copy,selection repo,b-side mirror export,YES,"no runtime folders",Until a later prune prompt removes duplicates the owner remains selection repo.
