audit_id,layer,object_type,path,exists,repo_visible_status,verified_status,current_role,expected_role,issue_type,severity,recommended_action,note
BASE-001,repo_skeleton,directory,.git,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-002,repo_skeleton,directory,configs,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-003,repo_skeleton,directory,inputs,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-004,repo_skeleton,directory,logs,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-005,repo_skeleton,directory,models,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-006,repo_skeleton,directory,outputs,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-007,repo_skeleton,directory,playwright,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-008,repo_skeleton,directory,reports,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-009,repo_skeleton,directory,runs,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-010,repo_skeleton,directory,scripts,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-011,repo_skeleton,directory,templates,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,??????,????????????,NONE,LOW,????,
BASE-100,git,working_tree,git status --short,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_COMMAND,???????,??????????????,DIRTY_WORKTREE,MEDIUM,?????? inputs/selection_run_current ? 00/01/03 ?????,M inputs/selection_run_current/00_选品运行目标与边界.csv |  M inputs/selection_run_current/01_市场入口与筛选参数.csv |  M inputs/selection_run_current/03_候选市场与候选品初筛池.csv
BASE-101,git,branch,git branch --show-current,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_COMMAND,???? main,????????,NONE,LOW,????,main
BASE-102,repo_hygiene,root_business_files,.,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,???????????,???????? 00~04 CSV / xlsx,NONE,LOW,???????,?????? 00~04 CSV/xlsx ????
BASE-103,input_layer,directory,inputs/selection_run_current,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,?????????? 00/01/02/03 + README,?????????04 ???????????,DIRTY_WORKING_INPUTS,MEDIUM,????????????????????????????,???? 04 ?????00/01/03 ??????
BASE-104,template_layer,directory,templates/selection_csv_cn_reference,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,5 ??? CSV ?? + README,??????????,NONE,LOW,????,??????? 00~04 ??
BASE-105,raw_download_layer,directory,runs/manual/10_market,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,SellerSprite ????????,????? .xlsx ???,RAW_MARKET_DUPLICATES_OR_NAMING_DRIFT,MEDIUM,?????/??????????????????????,?? .xlsx ??=3; ??=Market-research(1)SqueezeToys-US-Last-30-days.xlsx | diag-old-Market-research(1)SqueezeToys-US-Last-30-days.xlsx | market-report-us-squeeze-toys-d30-new6m-sample100-head10-20260406_055235.xlsx
BASE-106,archive_layer,directory,outputs/selection_runs,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,????????,?????????/??/?????,PARTIAL_ARCHIVE_PRESENT,MEDIUM,?????????? partial package ?????,???????=20260407_004949 | 20260407_090101
BASE-107,archive_layer,run_package,outputs/selection_runs/20260407_004949,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,????????????,???????????? 00_run_summary / 01 / 02 / 03,PARTIAL_ARCHIVE_PACKAGE,MEDIUM,??????????????????????????????,????=02_generated_outputs
BASE-108,archive_layer,run_package,outputs/selection_runs/20260407_090101,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_LISTING,?????,?? summary / consumed_inputs / generated_outputs / logs,NONE,LOW,???????????????,????=00_run_summary.md | 01_consumed_inputs | 02_generated_outputs | 03_logs
BASE-109,script_layer,workflow_capability,scripts/export_market_report.py,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_SYNTAX_AND_ARTIFACTS,SellerSprite ??????,?? runs/manual/10_market/*.xlsx,NONE,LOW,????,? MARKET_EXPORT_PROOF ? runs/manual/10_market ???? xlsx
BASE-110,document_layer,report,reports/MARKET_EXPORT_PROOF.md,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_FILE_READ,?????????,???????????????,NONE,LOW,????,??????? 2026-04-06 ?????
BASE-111,document_layer,readme_alignment,README.md,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_FILE_READ,???????????/??/????/??/????,???????????,DOC_PATH_MISMATCH,MEDIUM,???????????? storage_state ???????????,README ? playwright/auth/storage_state.json?????? playwright/auth/sellersprite.storage_state.json
BASE-112,config_layer,config_and_model_docs,configs/model.json | models/README.md,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_FILE_READ,????????,???????????????,NONE,LOW,????,???????????
BASE-113,git,ignored_runtime_paths,outputs/selection_runs | runs/manual | playwright/auth | playwright/profiles,YES,REPO_VISIBLE__VERIFIED,VERIFIED_BY_COMMAND,?????????,?? auth/profile/???????,NONE,LOW,?? .gitignore ??,!! outputs/selection_runs/ | !! playwright/auth/sellersprite.storage_state.json | !! playwright/auth/storage_state.smoke.json | !! playwright/profiles/chromium-user-data/ | !! playwright/profiles/sellersprite-main/ | !! runs/manual/
