change_group,path_or_target,local_status,remote_status,local_commit_sha,remote_commit_sha,notes
remote_repair,origin,REPAIRED_TO_GITHUB,NOT_A_REPO_FILE,,,"origin changed from E:\\bzclaw side to https://github.com/chengz0754-source/bzclaw-side.git"
sync_tool,scripts/git_sync_main.ps1,LOCAL_COMMITTED,REMOTE_NOT_LANDED_BY_NATIVE_PUSH,5e6408eac03841e35065c98bf6cc99dc3041ef8b,,"stable sync logic with canonical-root guard, origin repair, dirty-tree checks, and commit-message fallback"
sync_tool,scripts/git_sync_main.bat,LOCAL_COMMITTED,REMOTE_NOT_LANDED_BY_NATIVE_PUSH,5e6408eac03841e35065c98bf6cc99dc3041ef8b,,"wrapper to avoid line-by-line batch pasting"
required_b5,SELLERSPRITE_RESEARCH_EXEC_PACK.md,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,b1559d77360afdf78466f4a0352cd097ef76cf1c,landed via GitHub repo API fallback
required_b5,RESEARCH_BENCHMARK_COMPETITOR_OBJECT_MAP.csv,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,895051975995fae77b9e10e7ef9653e4ce7fd852,landed via GitHub repo API fallback
required_b5,RESEARCH_FAILURE_TAXONOMY.md,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,1839bc57d93303f449de54aa5acc19eb9a7b097d,landed via GitHub repo API fallback and currently sets remote HEAD
required_b6,B_MARKET_INTELLIGENCE_PACK.md,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,1d45767dd2c6174af26599f26ea3d8b255f240ce,landed via GitHub repo API fallback
required_b6,KEYWORD_MARKET_CANDIDATE_SIF_MATRIX.csv,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,a5a334f549a0be5245057059eadd61d7aa2c721d,landed via GitHub repo API fallback
required_b7,HERMES_EXECUTION_MAP_B.md,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,2de5871c71c86e2ca333450e6ecafbabac57661c,landed via GitHub repo API fallback
required_b7,HERMES_COMPONENT_OWNERSHIP.csv,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,c794fc5937bc1b1fa71d59646ece4d2840a8a809,landed via GitHub repo API fallback
required_b7,HERMES_RUNTIME_GOVERNANCE_RULES.md,LOCAL_COMMITTED,REMOTE_LANDED,5e6408eac03841e35065c98bf6cc99dc3041ef8b,e1136736dfebc73e3d2d3479d5ed286bd69ecc4e,landed via GitHub repo API fallback
report_output,reports/governance/20260412-b75-git-sync-repair/B_GIT_SYNC_REPAIR_NOTE.md,LOCAL_PRESENT,REMOTE_NOT_LANDED,,,"documents the repaired flow and the current network blocker"
report_output,reports/governance/20260412-b75-git-sync-repair/B_GIT_UPLOAD_ROOT_CAUSE.md,LOCAL_PRESENT,REMOTE_NOT_LANDED,,,"captures the compound root cause: invocation error plus remote misconfiguration plus egress block"
report_output,reports/governance/20260412-b75-git-sync-repair/B_REMOTE_LANDING_CHECK.md,LOCAL_PRESENT,REMOTE_NOT_LANDED,,,"records local HEAD, remote HEAD, and required-file landing truth"
report_output,reports/governance/20260412-b75-git-sync-repair/B_GIT_SYNC_CHANGESET.csv,LOCAL_PRESENT,REMOTE_NOT_LANDED,,,"records this repair-round changeset"
excluded_local_only,市场分析,EXCLUDED_FROM_STAGED_SET,NOT_LANDED,,,root stray zero-byte file left outside the commit path
