object_name,track_scope,classification,current_materialization,producer_scripts,input_object,intermediate_artifacts,output_object,evidence_paths,reviewable_summary,observed_local_sample,ingest_posture,notes
MarketIntelligenceInputProfile,BT-04|BT-05|BT-08|BT-09|BT-10,input_object,composed_from_current_inputs_and_cli_overrides,"scripts/export_keyword_research.py|scripts/export_keyword_trend.py|scripts/build_keyword_evidence_pool.py|scripts/export_market_report.py|scripts/build_market_workbook_index.py|scripts/build_candidate_pool.py|scripts/collect_sif_detail_surface.py|scripts/collect_sif_search_surface.py|scripts/build_sif_enrichment_daytime_pack.py","inputs/selection_run_current/01_甯傚満鍏ュ彛涓庣瓫閫夊弬鏁?csv|inputs/selection_run_current/01_閫夊搧浠诲姟璺敱涓庣洰鐨?csv|inputs/selection_run_current/02A_SIF琛ュ己绛栫暐杈撳叆.csv",context_resolution_only,run_scoped_input_profile,"logs/**/latest_*.json",none,route/context rows referenced by STEP2 STEP3 STEP7 and SIF scripts,required_anchor,Shared pack input contract and not a business verdict.
UpstreamArtifactBinding,BT-05|BT-08|BT-10,input_binding,explicit_paths_or_auto_resolved_companion_files,"scripts/export_market_report.py|scripts/build_candidate_pool.py|scripts/build_sif_enrichment_daytime_pack.py","12|22|32|42|candidate_pool_summary.json|sif probe refs",binding_resolution_and_status_merge,step_ref_bundle,"outputs/selection_runs/<batch_id>/02_generated_outputs/**|logs/candidate_pool/latest_run.json|logs/sif_enrichment/latest_run.json",candidate_pool_summary.json or pack brief,"20260411_t02_toy_parameterized_step7 candidate_pool_summary.json carries step1/2/3/4 paths",required_anchor,Later families consume refs instead of inventing second-stage semantics.
KeywordResearchCollectorReceipt,BT-04,collector_receipt,real_summary_json_exists,scripts/export_keyword_research.py,MarketIntelligenceInputProfile,"keyword export flow receipt|keyword_research_raw.json",keyword_workbook_collection_receipt,"logs/keyword_chain/latest_keyword_research_run.json|logs/sellersprite_keyword_export_flow/**|runs/manual/20_keyword_exports/**|playwright/screenshots/sellersprite_auth_incidents/**",keyword_chain_output_index.md,"logs/keyword_chain/latest_keyword_research_run.json -> PASS | workbook KeywordHistory-mini-claw-machine-US-20260408-146021.xlsx | raw_row_count=1",ingest_ready_receipt,Observed runtime truth uses runs/manual/20_keyword_exports and supersedes older 12_keyword_exports wording.
KeywordTrendCollectorReceipt,BT-04,collector_receipt,real_summary_json_exists,scripts/export_keyword_trend.py,MarketIntelligenceInputProfile,keyword_trend_raw.json,keyword_table_collection_receipt,"logs/keyword_chain/latest_keyword_trend_run.json|outputs/selection_runs/<batch_id>/02_generated_outputs/keyword_trend_raw.json",keyword_chain_output_index.md,"logs/keyword_chain/latest_keyword_trend_run.json -> PASS | surface_row_count=50 | raw_row_count=50",ingest_ready_receipt,Surface-table capture is peer evidence to workbook export and not a fallback description only.
KeywordCanonicalArtifactSet,BT-04,canonical_output_set,real_build_outputs_exist,scripts/build_keyword_evidence_pool.py,KeywordResearchCollectorReceipt|KeywordTrendCollectorReceipt,"20_鍏抽敭璇嶈瘉鎹瘝姹犲師濮嬬粨鏋?csv|21_鍏抽敭璇嶈瘉鎹瘝姹犳竻娲楃粨鏋?csv|22_鍏抽敭璇嶈瘉鎹瘝姹犱笅鎺ㄧ粨鏋?csv|keyword_chain_output_index.csv",STEP2_keyword_pack,"outputs/selection_runs/<batch_id>/02_generated_outputs/20_*.csv|21_*.csv|22_*.csv|keyword_chain_output_index.*",keyword_chain_output_index.md,"outputs/selection_runs/20260409_step2_formal_rebuild/02_generated_outputs -> rows 21/19/19 | gate PASS=0 FAIL=7 HOLD=12",artifact_ingest_ready__gate_hold_allowed,Canonical keyword artifacts are real even when the gate layer stays HOLD.
KeywordReviewSummary,BT-04,reviewable_summary,real_markdown_exists,scripts/build_keyword_evidence_pool.py,KeywordCanonicalArtifactSet,gate_summary_and_source_module_refs,owner_or_gpt_review_surface,"outputs/selection_runs/<batch_id>/02_generated_outputs/keyword_chain_output_index.md|logs/keyword_chain/latest_keyword_build_run.json",keyword_chain_output_index.md,"20260409_step2_formal_rebuild/02_generated_outputs/keyword_chain_output_index.md",review_surface_only,Review markdown is for ingest review and owner look-sample only.
MarketExportReceipt,BT-05,collector_receipt,real_log_receipt_exists,scripts/export_market_report.py,MarketIntelligenceInputProfile,"market export attempts|product handoff binding|source-empty receipt or workbook target",market_export_receipt,"logs/market_exports/latest_run.json|logs/market_exports/export_runs.jsonl|runs/manual/10_market/**|playwright/screenshots/sellersprite_auth_incidents/**",market_workbook_index.md or market_chain_output_index.md,"logs/market_exports/latest_run.json -> FAILED | failure_reason=no results for claw machine / US",blocked_or_pass_receipt,Source-empty export is still a first-class receipt and must not disappear from intake.
MarketWorkbookArtifact,BT-05,raw_artifact,real_keep_set_workbook_exists,scripts/export_market_report.py,MarketExportReceipt,selected_keep_set_workbook,market_workbook_ref,"runs/manual/10_market/**|outputs/selection_runs/<batch_id>/02_generated_outputs/market_workbook_index.*",market_workbook_index.md,"runs/manual/10_market/20260411_t02_direct_asset_override/market-report-us-claw-machine-d30-new6m-sample100-head10-20260411_003456.xlsx",reviewable_artifact,Workbook existence is evidence and not final market judgment.
MarketCanonicalArtifactSet,BT-05,canonical_output_set,real_build_outputs_exist,scripts/build_market_workbook_index.py,MarketWorkbookArtifact,"30_甯傚満璋冪爺鍘熷绱㈠紩.csv|31_甯傚満璋冪爺娓呮礂缁撴灉.csv|32_甯傚満璋冪爺涓嬫帹缁撴灉.csv|market_cleaned.csv|market_chain_output_index.csv",STEP3_market_pack,"outputs/selection_runs/<batch_id>/02_generated_outputs/30_*.csv|31_*.csv|32_*.csv|market_chain_output_index.*",market_chain_output_index.md,"outputs/selection_runs/20260411_t02_toy_parameterized_step3/02_generated_outputs -> rows 1/17/17 | gate PASS=0 FAIL=0 HOLD=17",artifact_ingest_ready__blocked_summary_allowed,STEP3 artifacts stay business intelligence and not publish approval.
MarketReviewSummary,BT-05,reviewable_summary,real_markdown_exists,scripts/build_market_workbook_index.py,MarketCanonicalArtifactSet,workbook_index_and_gate_summary,owner_or_gpt_review_surface,"outputs/selection_runs/<batch_id>/02_generated_outputs/market_workbook_index.md|market_chain_output_index.md",market_workbook_index.md|market_chain_output_index.md,"20260411_t02_toy_parameterized_step3 market summaries reference the selected workbook and gate HOLD=17",review_surface_only,Use review markdown for owner look-sample instead of raw workbook alone.
